[7, 9, 11, 13, 19, 22, 25, 29, 33, 34, 40, 44, 49, 52, 54, 55, 66, 67, 68, 70, 79, 80, 93, 96, 98, 99, 103, 104, 110, 111, 114, 117, 122, 125]
[1, 2, 5, 7, 9, 11, 17, 18, 19, 25, 29, 31, 34, 40, 44, 45, 48, 49, 54, 70, 71, 77, 79, 80, 99, 101, 110, 114, 115, 117, 121, 122, 123, 125]
[5, 7, 9, 11, 13, 19, 25, 29, 31, 34, 40, 44, 49, 52, 54, 55, 66, 67, 68, 70, 77, 79, 80, 93, 96, 98, 99, 103, 104, 110, 114, 117, 122, 125]
[5, 7, 9, 11, 19, 25, 29, 31, 34, 40, 44, 49, 52, 54, 55, 65, 66, 67, 68, 70, 77, 79, 80, 93, 96, 98, 99, 103, 104, 110, 114, 117, 122, 125]
[5, 7, 9, 11, 13, 19, 25, 29, 31, 34, 40, 44, 49, 52, 54, 55, 66, 67, 68, 70, 77, 79, 80, 93, 96, 98, 99, 103, 104, 110, 114, 117, 122, 125]
[1, 5, 7, 9, 11, 19, 25, 29, 31, 34, 40, 44, 49, 52, 54, 55, 65, 66, 68, 70, 77, 79, 80, 93, 96, 98, 99, 103, 104, 110, 114, 117, 122, 125]
[1, 5, 7, 9, 11, 13, 19, 25, 29, 31, 34, 40, 44, 49, 52, 54, 55, 66, 68, 70, 77, 79, 80, 93, 96, 98, 99, 103, 104, 110, 114, 117, 122, 125]
[1, 5, 7, 9, 11, 19, 25, 29, 31, 34, 40, 44, 45, 49, 52, 54, 55, 65, 66, 68, 70, 77, 79, 80, 96, 98, 99, 103, 104, 110, 114, 117, 122, 125]
[1, 2, 5, 7, 9, 11, 18, 19, 25, 29, 31, 34, 40, 44, 45, 48, 49, 54, 68, 70, 71, 77, 79, 80, 99, 101, 110, 114, 115, 117, 121, 122, 123, 125]
[1, 2, 5, 7, 9, 11, 18, 19, 25, 29, 31, 34, 40, 44, 48, 49, 54, 68, 70, 71, 77, 79, 80, 93, 99, 101, 110, 114, 115, 117, 121, 122, 123, 125]
[1, 5, 7, 9, 11, 13, 17, 19, 25, 29, 31, 34, 40, 44, 45, 49, 52, 54, 55, 66, 70, 77, 79, 80, 96, 98, 99, 103, 104, 110, 114, 117, 122, 125]
[1, 5, 7, 9, 11, 17, 19, 25, 29, 31, 34, 40, 44, 49, 52, 54, 55, 66, 70, 77, 79, 80, 93, 96, 98, 99, 103, 104, 110, 114, 117, 121, 122, 125]
[1, 5, 7, 9, 11, 13, 19, 25, 29, 31, 34, 40, 44, 45, 49, 52, 54, 55, 66, 68, 70, 77, 79, 80, 96, 98, 99, 103, 104, 110, 114, 117, 122, 125]
[1, 2, 5, 7, 9, 11, 18, 19, 25, 29, 31, 34, 40, 44, 48, 49, 54, 68, 70, 71, 77, 79, 80, 93, 98, 99, 101, 110, 114, 115, 117, 121, 122, 125]
[1, 2, 5, 7, 9, 11, 17, 18, 19, 25, 29, 31, 34, 40, 44, 48, 49, 54, 70, 71, 77, 79, 80, 93, 98, 99, 101, 110, 114, 115, 117, 121, 122, 125]
[5, 7, 9, 11, 19, 25, 29, 31, 34, 40, 44, 49, 52, 54, 55, 66, 67, 68, 70, 77, 79, 80, 93, 96, 98, 99, 103, 104, 110, 114, 117, 121, 122, 125]
[5, 7, 9, 11, 17, 19, 25, 29, 31, 34, 40, 44, 49, 52, 54, 55, 66, 67, 70, 77, 79, 80, 93, 96, 98, 99, 103, 104, 110, 114, 117, 121, 122, 125]
